,GARCH11_VaR_99,GJR_GARCH_VaR_99,Copula_VaR_99,EVT_VaR_99
2009-05-13,-0.04316896801995251,-0.036466212768953433,-0.020777084902748173,-0.03135340984511445
2009-05-14,-0.0457430786092163,-0.041202050139484386,-0.020777084902748173,-0.03135340984511445
2009-05-15,-0.04482139207419636,-0.039876012062697704,-0.020777084902748173,-0.03135340984511445
2009-05-18,-0.042982331660137714,-0.03868483130062971,-0.020777084902748173,-0.03135340984511445
2009-05-19,-0.04680769554106009,-0.038247704930058725,-0.020777084902748173,-0.03135340984511445
2009-05-20,-0.04471464725272571,-0.03679340637057207,-0.020777084902748173,-0.03135340984511445
2009-05-21,-0.04269745287420739,-0.03539679086827912,-0.020777084902748173,-0.03135340984511445
2009-05-22,-0.04219368569810288,-0.036299684409842305,-0.020777084902748173,-0.03135340984511445
2009-05-26,-0.04041267913613532,-0.035049583526080515,-0.020777084902748173,-0.03135340984511445
2009-05-27,-0.044173471775194366,-0.03475400903615224,-0.020777084902748173,-0.03135340984511445
2009-05-28,-0.04311966942637599,-0.0346445994035254,-0.020777084902748173,-0.03135340984511445
2009-05-29,-0.043883364394354,-0.03395606982361313,-0.020777084902748173,-0.03135340984511445
2009-06-01,-0.04318038915701934,-0.03300670008572474,-0.020777084902748173,-0.03135340984511445
2009-06-02,-0.04349166127712134,-0.03244333072511166,-0.020777084902748173,-0.03135340984511445
2009-06-03,-0.04167324528432946,-0.0313353392310134,-0.020777084902748173,-0.03135340984511445
2009-06-04,-0.04035446068783524,-0.030923506146636526,-0.020777084902748173,-0.03135340984511445
2009-06-05,-0.040382367209988675,-0.030299769407704506,-0.020777084902748173,-0.03135340984511445
2009-06-08,-0.039228995854353896,-0.029350421619408124,-0.020777084902748173,-0.03135340984511445
2009-06-09,-0.037682318400611536,-0.028102823554727326,-0.020777084902748173,-0.03135340984511445
