Date,Hist,Param,GJR,EVT,Hybrid
2016-08-11,-0.07961839270609619,-0.07443842689174995,-0.049396759831741285,-0.0997681932088107,-0.0632446144734699
2016-08-12,-0.07966422545083461,-0.07446735515255501,-0.04927266993272049,-0.0997681932088107,-0.06317344584324505
2016-08-15,-0.07971005819557304,-0.07449767640040293,-0.04914620922421743,-0.0997681932088107,-0.06310091789456879
2016-08-16,-0.07975589094031148,-0.07453487262417091,-0.048990513678997705,-0.0997681932088107,-0.06301162264359932
2016-08-17,-0.07041328560445581,-0.07457454814347181,-0.04890305040238426,-0.0997681932088107,-0.06296146078408175
2016-08-18,-0.07045372626157796,-0.07462717117958137,-0.043068160189508174,-0.0997681932088107,-0.06290842892401079
2016-08-19,-0.0704941669187001,-0.07467368625992143,-0.042977938906132496,-0.0997681932088107,-0.06284978610415869
2016-08-22,-0.07046119856628463,-0.0746691832615483,-0.04291684970565115,-0.0997681932088107,-0.06281007915293296
2016-08-23,-0.07034385322767997,-0.07460449371893109,-0.04285335892293641,-0.0997681932088107,-0.06276881103074136
2016-08-24,-0.07022650788907527,-0.0745432745640678,-0.04277819554595835,-0.0997681932088107,-0.06271995530369237
2016-08-25,-0.07010916255047059,-0.07442029915726898,-0.04280663747673054,-0.0997681932088107,-0.06273844328255956
2016-08-26,-0.06999181721186591,-0.07532974835561992,-0.042844761984396865,-0.0997681932088107,-0.062763224911219
2016-08-29,-0.06987447187326123,-0.07518314795529238,-0.04287804484592826,-0.0997681932088107,-0.06278485953389959
2016-08-30,-0.06975712653465656,-0.07504590856383883,-0.04286464725336875,-0.0997681932088107,-0.06277615142677333
2016-08-31,-0.06957951426069639,-0.07592401018333145,-0.04287326914714287,-0.0997681932088107,-0.0627817558790001
2016-09-01,-0.06940190198673624,-0.07573093894048671,-0.04292410096595411,-0.0997681932088107,-0.0628147969072079
2016-09-02,-0.06922428971277605,-0.07552758691041499,-0.04296201369171681,-0.0997681932088107,-0.06283944053659091
2016-09-06,-0.0690466774388159,-0.07533039164875194,-0.042986724311364306,-0.0997681932088107,-0.0628555039683488
2016-09-07,-0.06886906516485573,-0.07512316640571341,-0.04279370203300027,-0.0997681932088107,-0.0627300401330403
2016-09-08,-0.06869145289089557,-0.0749144352561154,-0.0425468389563472,-0.0997681932088107,-0.06256957332784674
2016-09-09,-0.0685384761959679,-0.07473453593934952,-0.0423802486025149,-0.0997681932088107,-0.0624611097186145
2016-09-12,-0.06838549950104021,-0.07454706419273689,-0.043504746624398585,-0.0997681932088107,-0.06319203640531156
2016-09-13,-0.06823252280611256,-0.0743445005186324,-0.04449836151855769,-0.0997681932088107,-0.06383788627011105
2016-09-14,-0.06807954611118486,-0.07415150756508253,-0.045497648723065,-0.0997681932088107,-0.06448742346076451
2016-09-15,-0.06792656941625719,-0.07396062268938398,-0.046364439395255606,-0.0997681932088107,-0.06505083784992424
2016-09-16,-0.06777359272132953,-0.07377302452081275,-0.04714040287078295,-0.0997681932088107,-0.06555522577533013
2016-09-19,-0.06762061602640185,-0.07360369166914471,-0.04781294161670958,-0.0997681932088107,-0.06599265498283395
2016-09-20,-0.06742719867435203,-0.07341228246631923,-0.048424822976434106,-0.0997681932088107,-0.06639432487563734
2016-09-21,-0.0672337813223022,-0.07321912448896355,-0.04787211476024458,-0.0997681932088107,-0.06603516580730186
2016-09-22,-0.06704036397025237,-0.07407522690076468,-0.04717031250675102,-0.0997681932088107,-0.0655789267935388
2016-09-23,-0.06684694661820256,-0.07388692492968488,-0.04650394683509631,-0.0997681932088107,-0.06514582970342289
2016-09-26,-0.06665352926615276,-0.07370158582791635,-0.046008968826062785,-0.0997681932088107,-0.06482414780291866
2016-09-27,-0.06645923289787452,-0.07455582016156943,-0.0456973502765672,-0.0997681932088107,-0.064621629470154
2016-09-28,-0.0662649365295963,-0.0743421483632452,-0.045406601533165385,-0.0997681932088107,-0.06443266711329515
2016-09-29,-0.06607064016131804,-0.07413462238906442,-0.04512590730297312,-0.0997681932088107,-0.06425022624359152
2016-09-30,-0.06587634379303982,-0.07391711770024598,-0.045006523001986654,-0.0997681932088107,-0.06417263925571035
2016-10-03,-0.06568204742476158,-0.07271757005679552,-0.04490412754763662,-0.0997681932088107,-0.06410610563274526
2016-10-04,-0.06548775105648336,-0.07250542408214464,-0.04481393782375862,-0.0997681932088107,-0.06404749707645081
2016-10-05,-0.06529345468820513,-0.07228927511676947,-0.04484319849954722,-0.0997681932088107,-0.0640665310329323
2016-10-06,-0.06509915831992691,-0.07207515835879634,-0.04486457963843059,-0.0997681932088107,-0.06408044108772995
2016-10-07,-0.06490486195164867,-0.07186796555406649,-0.04490260544955788,-0.0997681932088107,-0.06410516809598463
2016-10-10,-0.06471056558337045,-0.07164486712232768,-0.044955533648321805,-0.0997681932088107,-0.0641395852833955
2016-10-11,-0.06451626921509221,-0.07141941719330272,-0.04499024202411181,-0.0997681932088107,-0.06416215772539124
2016-10-12,-0.06432197284681399,-0.0711926482758599,-0.04518247224642668,-0.0997681932088107,-0.06428712328746765
2016-10-13,-0.06412767647853576,-0.07192191695629989,-0.04534974698504883,-0.0997681932088107,-0.06439586695643362
2016-10-14,-0.06393338011025754,-0.07170189648673014,-0.045558355389286376,-0.0997681932088107,-0.06453148495713612
2016-10-17,-0.0637390837419793,-0.07149135120960776,-0.04567822436142626,-0.0997681932088107,-0.06460941768127108
2016-10-18,-0.06354478737370106,-0.0712702165881372,-0.04580727791362245,-0.0997681932088107,-0.06469332472195756
2016-10-19,-0.06335049100542282,-0.07104119862155563,-0.04583336673470776,-0.0997681932088107,-0.06471029272289908
2016-10-20,-0.0631561946371446,-0.07081213356640045,-0.045861323196499396,-0.0997681932088107,-0.06472846617373078
2016-10-21,-0.06296189826886636,-0.07056937072357895,-0.04588645556060969,-0.0997681932088107,-0.06474480259261159
2016-10-24,-0.06276760190058814,-0.07032077273252432,-0.04590824005091859,-0.0997681932088107,-0.0647589623674257
2016-10-25,-0.06257330553230991,-0.0700730453753987,-0.04593400026723788,-0.0997681932088107,-0.06477570665606286
2016-10-26,-0.06237900916403169,-0.06982655976394354,-0.045890725182557573,-0.0997681932088107,-0.06474757788020152
2016-10-27,-0.06218471279575345,-0.06959212866446599,-0.04581299960643634,-0.0997681932088107,-0.06469705593376568
2016-10-28,-0.06199041642747523,-0.06936664782127519,-0.04590742511175898,-0.0997681932088107,-0.0647584325867536
2016-10-31,-0.06179612005919699,-0.06914941924729638,-0.04601030992709721,-0.0997681932088107,-0.06482530795783095
2016-11-01,-0.06160182369091877,-0.0689258012083664,-0.0461074156511303,-0.0997681932088107,-0.06488842632920576
2016-11-02,-0.061407527322640536,-0.06869160815089215,-0.04638158417033335,-0.0997681932088107,-0.06506663573417618
2016-11-03,-0.06121323095436231,-0.06844917324352182,-0.04669817813021859,-0.0997681932088107,-0.06527242180233572
2016-11-04,-0.06101893458608408,-0.06820725507724999,-0.04696344445752857,-0.0997681932088107,-0.06544484458338425
2016-11-07,-0.06082463821780586,-0.06798607941440991,-0.04723843436162102,-0.0997681932088107,-0.06562357947453971
2016-11-08,-0.060630341849527605,-0.06776924915814048,-0.04749671350172412,-0.0997681932088107,-0.06579145993197952
2016-11-09,-0.06043604548124938,-0.06755399835599138,-0.04773493894326553,-0.0997681932088107,-0.06594630591531042
2016-11-10,-0.06024174911297115,-0.06733329767780653,-0.047893896022829494,-0.0997681932088107,-0.06604962426656537
2016-11-11,-0.06004745274469293,-0.06712868866061154,-0.04816365270201549,-0.0997681932088107,-0.06622494486551024
2016-11-14,-0.059853156376414696,-0.06692723403630488,-0.048410566527007974,-0.0997681932088107,-0.0663854290280582
2016-11-15,-0.059732269017674075,-0.066777405364997,-0.04871689096526609,-0.0997681932088107,-0.06658453373275172
2016-11-16,-0.059695758645122665,-0.06668154106313394,-0.048987400363080864,-0.0997681932088107,-0.06676036181711896
2016-11-17,-0.059659248272571255,-0.06658746229201,-0.049237253675239255,-0.0997681932088107,-0.06692276415231992
2016-11-18,-0.059622737900019866,-0.06655183849782494,-0.04935511591448491,-0.0997681932088107,-0.06699937155946187
2016-11-21,-0.05958622752746846,-0.0654750132629317,-0.0494482254670885,-0.0997681932088107,-0.0670598898064167
2016-11-22,-0.05954971715491705,-0.06545357895606047,-0.04952797551535567,-0.0997681932088107,-0.06711172448905516
2016-11-23,-0.059513206782365644,-0.0654313442740627,-0.04960806165454551,-0.0997681932088107,-0.06716377667736712
2016-11-25,-0.059536963345169724,-0.06439319798556223,-0.04968366341659325,-0.0997681932088107,-0.06721291472095582
