Date,HistVaR_95,HistVaR_99,HistES_97.5,ParamVaR_Norm_95,ParamVaR_Norm_99,ParamES_Norm_97.5,ParamVaR_T_95,ParamVaR_T_99,ParamES_T_97.5,MCVaR_95,MCVaR_99,MC_ES_97.5
2023-02-15,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02157063661375986,-0.030478417813847084,-0.03062814454312629,-0.02127628969668289,-0.031514904908868414,-0.03193692074842993,-0.02144358410210049,-0.030415306490933523,-0.030610498692393594
2023-02-16,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021663250988935956,-0.03056110058643023,-0.030710660380045062,-0.021376793756050907,-0.03161502301440257,-0.03203918555654389,-0.021652122007931505,-0.03040006760842431,-0.030666378692387575
2023-02-17,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02171685026264003,-0.030619640442007708,-0.030769283279553233,-0.021442979783286586,-0.031654922335687716,-0.032071846411988354,-0.021689127656103844,-0.030606331239305583,-0.03074381020462895
2023-02-21,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021692866814131302,-0.030588867647964813,-0.030738396366575677,-0.021418050486514822,-0.03163328079239428,-0.032052507374772915,-0.021569636636517554,-0.030352563444143728,-0.03055060579534651
2023-02-22,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021624624893327404,-0.03051063220297908,-0.030659992945114532,-0.021333379252902466,-0.03159373978903458,-0.03202579985010782,-0.02157941467229705,-0.03047067855617449,-0.030640838583366053
2023-02-23,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021608992543887786,-0.03052286750061631,-0.03067269665700171,-0.021327227116808723,-0.031530184459408035,-0.03194255322613495,-0.02149426801836337,-0.030150708389705447,-0.03034271563077666
2023-02-24,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02153860159231568,-0.03043553928807483,-0.03058508375395976,-0.021243916177635158,-0.03149369418806979,-0.031920794706866165,-0.021385879711243463,-0.030574500968924615,-0.03064407313862572
2023-02-27,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02153658299202337,-0.03042027310625829,-0.03056959489973941,-0.021234066012874694,-0.03152615362273891,-0.03196625117077359,-0.021481209735399676,-0.030425748330222283,-0.0306090228766525
2023-02-28,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02154609524411883,-0.03040992083582326,-0.030558908735833,-0.02123511918912753,-0.031588927454389154,-0.032048392834991134,-0.021606446271261688,-0.03030060535279891,-0.030500816952112052
2023-03-01,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02158257210153185,-0.030449038458737695,-0.030598070746140033,-0.021280892442601396,-0.03161766589137921,-0.03207241469087828,-0.02159076634146589,-0.03049565352662599,-0.030634825872766676
2023-03-02,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021502728402476756,-0.030363729390339007,-0.03051266981290343,-0.021183654132508514,-0.031550035150525985,-0.03201321366066453,-0.02138170921957322,-0.03033158144953286,-0.030453586389752537
2023-03-03,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021518210167969978,-0.03039504423740808,-0.030544250790837814,-0.02120944735594788,-0.031545796665844,-0.031998016107475616,-0.021400580041745398,-0.03036355334116416,-0.03035429257421888
2023-03-06,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021490437407451782,-0.030364525032089234,-0.030513685421812434,-0.021174120597027907,-0.031527416071616896,-0.031984341236049596,-0.021484608752621016,-0.030291971938272252,-0.0304759618136521
2023-03-07,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021510391337872463,-0.030388939268311214,-0.030538174629229177,-0.021198689710474235,-0.031534772399105446,-0.03198652274501591,-0.021474942635425737,-0.030498085463201225,-0.030623925261157776
2023-03-08,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021292885574309677,-0.030122392055916047,-0.030270803102050353,-0.020955091963191133,-0.031364398691719926,-0.031845636455788806,-0.02129323938500183,-0.02993425310724989,-0.03014674800904056
2023-03-09,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021352281969766847,-0.0301889998202857,-0.03033753207894832,-0.02103039963952853,-0.03140061434958356,-0.03187056008487643,-0.021306781587134963,-0.03035825789758075,-0.030464825483622185
2023-03-10,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021352133116585043,-0.030156944668460143,-0.030304940629066933,-0.021016037478290495,-0.031461183848358255,-0.031957298921369365,-0.02139671924566774,-0.030267130316496877,-0.030419067176120636
2023-03-13,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.0213272436267585,-0.030129166481140935,-0.030277113886982208,-0.020983858328374416,-0.031447005106764805,-0.031948316279397725,-0.02120555798997928,-0.029931186272609232,-0.03007143968889343
2023-03-14,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.02125097355301155,-0.030062327222248206,-0.0302104331462469,-0.02089859297915413,-0.031350215864188895,-0.03184635178688817,-0.021107018208983013,-0.02997064429426845,-0.030223394193663013
2023-03-15,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021167417218875845,-0.029959648436858402,-0.030107432940514843,-0.020796920767678004,-0.031316748860519335,-0.03183477468201583,-0.02129736902475376,-0.030241846296941436,-0.03024927528005802
2023-03-16,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021182947444976737,-0.029988383720543323,-0.03013639018183855,-0.02082114627704162,-0.031326057926378104,-0.03183699064275011,-0.021229847315074078,-0.029867130657278133,-0.03003179434363037
2023-03-17,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.02116598323272806,-0.0299223278779683,-0.030069509181002603,-0.020783757213077965,-0.031343167240888904,-0.03188040113844681,-0.02102836224811721,-0.02974659392700346,-0.029921444647543524
2023-03-20,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021175614048509185,-0.02992454528440721,-0.030071601978910085,-0.020791422741746363,-0.03138699872071866,-0.03193544981295193,-0.021088239154415628,-0.03007304421840716,-0.030080367950845895
