,Historical_ES,Parametric_T_ES,GJR_ES,EVT_ES_Static,Hybrid_HMM_ES
2013-08-02,-0.017349736557441087,-0.016062110408359653,-0.014264295938911039,-0.03325606440293696,-0.020911404492308064
2013-08-05,-0.017349736557441087,-0.016060145391205777,-0.014022354418506884,-0.03325606440293696,-0.020754140775720204
2013-08-06,-0.017349736557441087,-0.0160649809311942,-0.014185649561339466,-0.03325606440293696,-0.020860271500340186
2013-08-07,-0.017349736557441087,-0.016012075108589346,-0.016958993701249595,-0.03325606440293696,-0.022662958225935483
2013-08-08,-0.017349736557441087,-0.016013941634616616,-0.01616326323621877,-0.03325606440293696,-0.022145732599572962
2013-08-09,-0.017349736557441087,-0.0160403119955167,-0.015650250754301643,-0.03325606440293696,-0.021812270560867604
2013-08-12,-0.017349736557441087,-0.032658517617015055,-0.016336302124183202,-0.03325606440293696,-0.022258211053180196
2013-08-13,-0.017349736557441087,-0.016062008804942653,-0.015825697907735903,-0.03325606440293696,-0.021926318200154584
2013-08-14,-0.017349736557441087,-0.01600958235519792,-0.01541546897656673,-0.03325606440293696,-0.02165966814988781
2013-08-15,-0.017349736557441087,-0.015976977171818996,-0.015110416839302431,-0.03325606440293696,-0.021461377951722472
2013-08-16,-0.017349736557441087,-0.01599157935186098,-0.016800738564135432,-0.03325606440293696,-0.022560093677270486
2013-08-19,-0.017349736557441087,-0.015982069297975375,-0.016235327283198264,-0.03325606440293696,-0.022192562678635414
2013-08-20,-0.017349736557441087,-0.016029877154941186,-0.018585143210817206,-0.03325606440293696,-0.023719957686698045
2013-08-21,-0.017349736557441087,-0.016017157981591274,-0.01764864226379912,-0.03325606440293696,-0.02311122993626833
2013-08-22,-0.017349736557441087,-0.01599193604797262,-0.01757963640453507,-0.03325606440293696,-0.023066370940605194
2013-08-23,-0.017349736557441087,-0.015955898911248854,-0.016941212175704743,-0.03325606440293696,-0.022651390710730534
2013-08-26,-0.017349736557441087,-0.015975651903227986,-0.016407829899606166,-0.03325606440293696,-0.022304693017352453
2013-08-27,-0.017349736557441087,-0.016109482193109374,-0.016197883396480893,-0.03325606440293696,-0.02216813668948356
2013-08-28,-0.017349736557441087,-0.016158106348409893,-0.020969760922223565,-0.03325606440293696,-0.025269952101189562
2013-08-29,-0.017349736557441087,-0.01614812872192835,-0.019546349712553104,-0.03325606440293696,-0.024344737348219594
2013-08-30,-0.017349736557441087,-0.016133252318710666,-0.018560597194683216,-0.03325606440293696,-0.023703992922696742
2013-09-03,-0.017349736557441087,-0.01612897692157302,-0.018192054365424665,-0.03325606440293696,-0.023464442255119046
2013-09-04,-0.017349736557441087,-0.016122559079958302,-0.01765943279210836,-0.03325606440293696,-0.02311824019362728
2013-09-05,-0.017349736557441087,-0.01618922071152975,-0.017071270326842684,-0.03325606440293696,-0.02273593166615615
2013-09-06,-0.017349736557441087,-0.016206955911669256,-0.01676499278690102,-0.03325606440293696,-0.022536854308579983
2013-09-09,-0.017349736557441087,-0.016133386762003876,-0.016339717014560266,-0.03325606440293696,-0.022260418923405217
2013-09-10,-0.017349736557441087,-0.015803611086115523,-0.015962980423144705,-0.03325606440293696,-0.022015543881028502
2013-09-11,-0.017349736557441087,-0.01581701963651998,-0.0163476903621093,-0.03325606440293696,-0.022265604507251607
2013-09-12,-0.017349736557441087,-0.01580513552289901,-0.0154909844543141,-0.03325606440293696,-0.021708733536056304
2013-09-13,-0.017349736557441087,-0.015843231689225763,-0.016643206456949177,-0.03325606440293696,-0.022457690758241985
2013-09-16,-0.017349736557441087,-0.015881566532590107,-0.015565037993810954,-0.03325606440293696,-0.021756878508356038
2013-09-17,-0.017349736557441087,-0.01580367820095084,-0.015227424720313281,-0.03325606440293696,-0.021537430257258246
2013-09-18,-0.017349736557441087,-0.015922316015334486,-0.015677878934111347,-0.03325606440293696,-0.02183019161477071
2013-09-19,-0.017349736557441087,-0.015936836340917748,-0.022583307282020598,-0.03325606440293696,-0.02631875611532889
2013-09-20,-0.017349736557441087,-0.015964651583784222,-0.017902892321440766,-0.03325606440293696,-0.023276433294463616
2013-09-23,-0.017349736557441087,-0.015962513660666165,-0.019522478121668997,-0.03325606440293696,-0.02432921395075626
2013-09-24,-0.017349736557441087,-0.015962225554600803,-0.01724796748312994,-0.03325606440293696,-0.022850782390483586
2013-09-25,-0.017349736557441087,-0.015957574669819754,-0.016320496383714776,-0.03325606440293696,-0.02224793069973319
2013-09-26,-0.017349736557441087,-0.01596185719991675,-0.015497996113985736,-0.03325606440293696,-0.021713305637138473
2013-09-27,-0.017349736557441087,-0.015946402619145022,-0.014912292620545633,-0.03325606440293696,-0.021332600790252156
2013-09-30,-0.017349736557441087,-0.015946615834557164,-0.014655416063339156,-0.03325606440293696,-0.021165624589371386
2013-10-01,-0.017349736557441087,-0.0159195682291779,-0.015661276087667278,-0.03325606440293696,-0.021819439944644702
2013-10-02,-0.017349736557441087,-0.015907455770215947,-0.015730132574332298,-0.03325606440293696,-0.021864196444463083
2013-10-03,-0.017349736557441087,-0.01587213131064223,-0.015890208993413677,-0.03325606440293696,-0.021968236784203843
2013-10-04,-0.017349736557441087,-0.01582852550267096,-0.016460548022561663,-0.03325606440293696,-0.022338965498320856
2013-10-07,-0.017349736557441087,-0.01582389390419489,-0.01637586814203205,-0.03325606440293696,-0.022283916837245874
2013-10-08,-0.017349736557441087,-0.01590010062169427,-0.01603349424465402,-0.03325606440293696,-0.022061342701508148
2013-10-09,-0.017349736557441087,-0.01592100602248873,-0.018189867745238227,-0.03325606440293696,-0.02346301822044752
2013-10-10,-0.017349736557441087,-0.016044968280429152,-0.017747599228495198,-0.03325606440293696,-0.023175516489615907
2013-10-11,-0.017349736557441087,-0.01605096990058471,-0.017288112194159985,-0.03325606440293696,-0.022876876630344753
2013-10-14,-0.017349736557441087,-0.016040586321907514,-0.0168673972593521,-0.03325606440293696,-0.022603413732760907
2013-10-15,-0.017349736557441087,-0.016037782330967008,-0.016415508400567488,-0.03325606440293696,-0.022309681601308324
2013-10-16,-0.017349736557441087,-0.016008507447485457,-0.016063929485704738,-0.03325606440293696,-0.02208114400782447
2013-10-17,-0.017349736557441087,-0.01600322461118346,-0.015672190051847,-0.03325606440293696,-0.021826519756659217
2013-10-18,-0.017349736557441087,-0.01600164879471079,-0.015319449031598351,-0.03325606440293696,-0.021597240756229315
2013-10-21,-0.017349736557441087,-0.01596689174822435,-0.015050452792548307,-0.03325606440293696,-0.021422397990241187
2013-10-22,-0.017349736557441087,-0.01600873524720433,-0.014670755256049849,-0.03325606440293696,-0.02117559568051972
2013-10-23,-0.016252117078946714,-0.01537707407363793,-0.01440499404458085,-0.03325606440293696,-0.02100282278311344
2013-10-24,-0.016252117078946714,-0.015366914891769473,-0.016579741208658003,-0.03325606440293696,-0.022416436971997914
2013-10-25,-0.016252117078946714,-0.01532567410811461,-0.015590700817507028,-0.03325606440293696,-0.02177355928405315
2013-10-28,-0.016252117078946714,-0.015342460455840045,-0.015280844848159857,-0.03325606440293696,-0.021572153455794243
2013-10-29,-0.016252117078946714,-0.01534162336188917,-0.014935717182601352,-0.03325606440293696,-0.02134781904065634
